category,group,doc_type_code,doc_type_description
Land Records,REAL PROPERTY,LS,LEASE
Land Records,REAL PROPERTY,LEASE AGMT,LEASE AGMT
Land Records,REAL PROPERTY,LEASE AGR,LEASE AGR
Land Records,REAL PROPERTY,LEASE AGREE,LEASE AGREE
Land Records,REAL PROPERTY,LEASE AGT,LEASE AGT
Land Records,REAL PROPERTY,LEASE CONT,LEASE CONT
Land Records,REAL PROPERTY,LEASE EXT,LEASE EXT
Land Records,REAL PROPERTY,LEASE MEMO,LEASE MEMO
Land Records,REAL PROPERTY,LED,LIFE ESTATE DEED
Land Records,REAL PROPERTY,LWD,LIMITED WARRANTY DEED
Land Records,REAL PROPERTY,M/A/LOA&ABS/OGL,M/A/LOA&ABS/OGL
Land Records,REAL PROPERTY,MDT,MASTER DEED OF TRUST
Land Records,REAL PROPERTY,MD/ASGN/OG/INT,MD/ASGN/OG/INT
Land Records,REAL PROPERTY,MMLA,MECHANICS LIEN W/ASSIGNMENT
Land Records,REAL PROPERTY,MEME,MEMEORANDUM OF OIL AND GAS LEASE
Land Records,REAL PROPERTY,MEMO LEASE,MEMO LEASE
Land Records,REAL PROPERTY,MEMO/NOT/OGL,MEMO/NOT/OGL
Land Records,REAL PROPERTY,MLE,MEMO OF LEASE EXTENSION
Land Records,REAL PROPERTY,MO&G,MEMO OF OIL AND GAS
Land Records,REAL PROPERTY,MEMO/OGL,MEMO/OGL
Land Records,REAL PROPERTY,MEMO/OGL&FS,MEMO/OGL&FS
Land Records,REAL PROPERTY,MEMO/OG&LHL,MEMO/OG&LHL
Land Records,REAL PROPERTY,MEMO/OGL/SECAGR,MEMO/OGL/SECAGR
Land Records,REAL PROPERTY,MEMO/OGML,MEMO/OGML
Land Records,REAL PROPERTY,MEMO/PUOGL,MEMO/PUOGL
Land Records,REAL PROPERTY,MGNOGL,MEMORANDUM GIVING NOTICE OF OIL & GAS LEASE
Land Records,REAL PROPERTY,MNEOGL,MEMORANDUM NOTICE OF EXISTENCE OF OIL & GAS LEASE
Land Records,REAL PROPERTY,MOOGL,MEMORANDUM OF AN OIL AND GAS LEASE
Land Records,REAL PROPERTY,MEL,MEMORANDUM OF LEASE
Land Records,REAL PROPERTY,MOGL,MEMORANDUM OF OIL AND GAS LEASE
Land Records,REAL PROPERTY,MOGML,MEMORANDUM OF OIL GAS AND MINERAL LEASE
Land Records,REAL PROPERTY,MOPUOGL,MEMORANDUM OF PAID UP OIL AND GAS LEASE
Land Records,REAL PROPERTY,MOSL,MEMORANDUM OF SURFACE LEASE
Land Records,REAL PROPERTY,M/I DEED,M/I DEED
Land Records,REAL PROPERTY,MID1,MINERAL DEED1
Land Records,REAL PROPERTY,MIN DEED,MIN DEED
Land Records,REAL PROPERTY,MARC,MINERAL AND ROYALTY CONVEYANCE
Land Records,REAL PROPERTY,MARD,MINERAL AND ROYALTY DEED
Land Records,REAL PROPERTY,MRSWD,MINERAL AND ROYALTY SPECIAL WARRANTY DEED
Land Records,REAL PROPERTY,MC,MINERAL CONVEYANCE
Land Records,REAL PROPERTY,MD,MINERAL DEED
Land Records,REAL PROPERTY,MDBOS,MINERAL DEED AND BILL OF SALE
Land Records,REAL PROPERTY,MDAC,MINERAL DEED AND CONVEYANCE
Land Records,REAL PROPERTY,MDA,MINERAL DEED & ASSIGNMENT
Land Records,REAL PROPERTY,MINERAL DR,MINERAL DR
Land Records,REAL PROPERTY,MINERAL INT,MINERAL INT
Land Records,REAL PROPERTY,MINL,MINERAL LEASE
Land Records,REAL PROPERTY,MLA,MINERAL LIEN AFFIDAVIT
Land Records,REAL PROPERTY,MR RT,MINERAL RIGHT AND ROYALTY TRANSFER
Land Records,REAL PROPERTY,MRORC,MINERAL ROYALTY AND OVERRIDING ROYALTY CONVEYANCE
Land Records,REAL PROPERTY,MRC,MINERAL ROYALTY CONVEYANCE
Land Records,REAL PROPERTY,MRD,MINERAL & ROYALTY DEED
Land Records,REAL PROPERTY,MODT,MODIFICATION OF DEED OF TRUST
Land Records,REAL PROPERTY,MTG DEED,MTG DEED
Land Records,REAL PROPERTY,NONMLEA,NON MINERAL LESSEE EASEMENT
Land Records,REAL PROPERTY,NOT/EO/EPT/OGL,NOT/EO/EPT/OGL
